date,year,month,district,service_type,booking_count
2024-01-01,2024,1,Pune,Electrician,115
2024-01-01,2024,1,Pune,Plumber,96
2024-01-01,2024,1,Pune,Carpenter,102
2024-01-01,2024,1,Pune,Caregiver,195
2024-01-01,2024,1,Pune,Painter,80
2024-01-01,2024,1,Bengaluru,Electrician,139
2024-01-01,2024,1,Bengaluru,Plumber,111
2024-01-01,2024,1,Bengaluru,Carpenter,114
2024-01-01,2024,1,Bengaluru,Caregiver,218
2024-01-01,2024,1,Bengaluru,Painter,85
2024-01-01,2024,1,Delhi,Electrician,130
2024-01-01,2024,1,Delhi,Plumber,120
2024-01-01,2024,1,Delhi,Carpenter,120
2024-01-01,2024,1,Delhi,Caregiver,236
2024-01-01,2024,1,Delhi,Painter,97
2024-01-01,2024,1,Mumbai,Electrician,137
2024-01-01,2024,1,Mumbai,Plumber,128
2024-01-01,2024,1,Mumbai,Carpenter,139
2024-01-01,2024,1,Mumbai,Caregiver,245
2024-01-01,2024,1,Mumbai,Painter,109
2024-01-01,2024,1,Jaipur,Electrician,87
2024-01-01,2024,1,Jaipur,Plumber,81
2024-01-01,2024,1,Jaipur,Carpenter,79
2024-01-01,2024,1,Jaipur,Caregiver,150
2024-01-01,2024,1,Jaipur,Painter,61
2024-02-01,2024,2,Pune,Electrician,137
2024-02-01,2024,2,Pune,Plumber,94
2024-02-01,2024,2,Pune,Carpenter,99
2024-02-01,2024,2,Pune,Caregiver,167
2024-02-01,2024,2,Pune,Painter,74
2024-02-01,2024,2,Bengaluru,Electrician,166
2024-02-01,2024,2,Bengaluru,Plumber,103
2024-02-01,2024,2,Bengaluru,Carpenter,110
2024-02-01,2024,2,Bengaluru,Caregiver,192
2024-02-01,2024,2,Bengaluru,Painter,95
2024-02-01,2024,2,Delhi,Electrician,184
2024-02-01,2024,2,Delhi,Plumber,117
2024-02-01,2024,2,Delhi,Carpenter,116
2024-02-01,2024,2,Delhi,Caregiver,189
2024-02-01,2024,2,Delhi,Painter,106
2024-02-01,2024,2,Mumbai,Electrician,192
2024-02-01,2024,2,Mumbai,Plumber,120
2024-02-01,2024,2,Mumbai,Carpenter,138
2024-02-01,2024,2,Mumbai,Caregiver,199
2024-02-01,2024,2,Mumbai,Painter,111
2024-02-01,2024,2,Jaipur,Electrician,118
2024-02-01,2024,2,Jaipur,Plumber,83
2024-02-01,2024,2,Jaipur,Carpenter,84
2024-02-01,2024,2,Jaipur,Caregiver,117
2024-02-01,2024,2,Jaipur,Painter,64
2024-03-01,2024,3,Pune,Electrician,229
2024-03-01,2024,3,Pune,Plumber,128
2024-03-01,2024,3,Pune,Carpenter,98
2024-03-01,2024,3,Pune,Caregiver,149
2024-03-01,2024,3,Pune,Painter,82
2024-03-01,2024,3,Bengaluru,Electrician,313
2024-03-01,2024,3,Bengaluru,Plumber,136
2024-03-01,2024,3,Bengaluru,Carpenter,117
2024-03-01,2024,3,Bengaluru,Caregiver,190
2024-03-01,2024,3,Bengaluru,Painter,101
2024-03-01,2024,3,Delhi,Electrician,364
2024-03-01,2024,3,Delhi,Plumber,147
2024-03-01,2024,3,Delhi,Carpenter,124
2024-03-01,2024,3,Delhi,Caregiver,189
2024-03-01,2024,3,Delhi,Painter,101
2024-03-01,2024,3,Mumbai,Electrician,313
2024-03-01,2024,3,Mumbai,Plumber,172
2024-03-01,2024,3,Mumbai,Carpenter,136
2024-03-01,2024,3,Mumbai,Caregiver,222
2024-03-01,2024,3,Mumbai,Painter,105
2024-03-01,2024,3,Jaipur,Electrician,187
2024-03-01,2024,3,Jaipur,Plumber,97
2024-03-01,2024,3,Jaipur,Carpenter,83
2024-03-01,2024,3,Jaipur,Caregiver,138
2024-03-01,2024,3,Jaipur,Painter,63
2024-04-01,2024,4,Pune,Electrician,254
2024-04-01,2024,4,Pune,Plumber,129
2024-04-01,2024,4,Pune,Carpenter,100
2024-04-01,2024,4,Pune,Caregiver,155
2024-04-01,2024,4,Pune,Painter,78
2024-04-01,2024,4,Bengaluru,Electrician,290
2024-04-01,2024,4,Bengaluru,Plumber,141
2024-04-01,2024,4,Bengaluru,Carpenter,102
2024-04-01,2024,4,Bengaluru,Caregiver,181
2024-04-01,2024,4,Bengaluru,Painter,92
2024-04-01,2024,4,Delhi,Electrician,305
2024-04-01,2024,4,Delhi,Plumber,156
2024-04-01,2024,4,Delhi,Carpenter,114
2024-04-01,2024,4,Delhi,Caregiver,203
2024-04-01,2024,4,Delhi,Painter,100
2024-04-01,2024,4,Mumbai,Electrician,340
